"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,fiscal_year
241.0,BAJAJFINSV,0.0,68406.0,46951.0,21455.0,31.0,8.0,9629.0,563.0,11271.0,26.0,8314.0,29.0,1.0,0
242.0,BAJAJFINSV,0.0,82072.0,52204.0,29868.0,36.0,1.0,12380.0,678.0,16811.0,27.0,12210.0,40.0,2.0,0
243.0,BAJAJFINSV,0.0,110382.0,69497.0,40886.0,37.0,-4.0,18607.0,900.0,21375.0,27.0,15595.0,51.0,2.0,0
244.0,BAJAJFINSV,0.0,126263.0,80784.0,45479.0,36.0,12.0,21568.0,1031.0,22892.0,0.0,16520.0,53.0,0.0,0
245.0,BAJAJHLDNG,0.0,337.0,15.0,322.0,95.0,3.0,0.0,2.0,322.0,21.0,1856.0,167.0,15.0,0
246.0,BAJAJHLDNG,0.0,423.0,23.0,400.0,94.0,5.0,0.0,5.0,400.0,20.0,1988.0,179.0,17.0,0
247.0,BAJAJHLDNG,0.0,524.0,40.0,484.0,92.0,35.0,0.0,6.0,513.0,19.0,2029.0,182.0,19.0,0
248.0,BAJAJHLDNG,0.0,470.0,42.0,429.0,91.0,7.0,0.0,5.0,430.0,21.0,2265.0,204.0,16.0,0
249.0,BAJAJHLDNG,0.0,842.0,215.0,628.0,75.0,8.0,0.0,5.0,630.0,21.0,2473.0,222.0,15.0,0
250.0,BAJAJHLDNG,0.0,420.0,65.0,355.0,85.0,2390.0,0.0,5.0,2739.0,3.0,2655.0,239.0,17.0,0
